Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1933,Alice in Wonderland,13.627,34,below_avg,Adventure
1933,Alice in Wonderland,13.627,34,below_avg,Family
1933,Alice in Wonderland,13.627,34,below_avg,Fantasy
2001,Baby Boy,13.624,229,average,Crime
2001,Baby Boy,13.624,229,average,Drama
2001,Baby Boy,13.624,229,average,Romance
2001,Baby Boy,13.624,229,average,Thriller
1994,The Gods Must Be Funny in China,13.622,9,not_popular,Comedy
1987,Can't Buy Me Love,13.621,506,average,Drama
1987,Can't Buy Me Love,13.621,506,average,Comedy
1987,Can't Buy Me Love,13.621,506,average,Romance
2018,Billionaire Boys Club,13.618,342,not_popular,Drama
2018,Billionaire Boys Club,13.618,342,not_popular,Thriller
2007,Teeth,13.618,547,not_popular,Comedy
2007,Teeth,13.618,547,not_popular,Horror
2020,The Assistant,13.616,296,below_avg,Drama
1933,Three Little Pigs,13.615,287,average,Music
1933,Three Little Pigs,13.615,287,average,Animation
1933,Three Little Pigs,13.615,287,average,Comedy
1933,Three Little Pigs,13.615,287,average,Family
2010,Kidnapped,13.614,162,below_avg,Horror
2010,Kidnapped,13.614,162,below_avg,Thriller
2004,A Dirty Shame,13.614,209,not_popular,Comedy
2015,Persona 3 the Movie: #3 Falling Down,13.613,18,average,Action
2015,Persona 3 the Movie: #3 Falling Down,13.613,18,average,Animation
2015,Persona 3 the Movie: #3 Falling Down,13.613,18,average,Fantasy
2013,Rape Zombie: Lust of the Dead 2,13.611,27,not_popular,Horror
2013,Rape Zombie: Lust of the Dead 2,13.611,27,not_popular,Comedy
2013,Stranger by the Lake,13.609,316,below_avg,Drama
2013,Stranger by the Lake,13.609,316,below_avg,Thriller
2012,Cleanskin,13.609,252,not_popular,Drama
2012,Cleanskin,13.609,252,not_popular,Thriller
2012,Cleanskin,13.609,252,not_popular,Crime
2021,Audible,13.607,33,average,Documentary
2018,A Rough Draft,13.607,122,not_popular,Fantasy
2018,A Rough Draft,13.607,122,not_popular,Action
2012,Minecraft: The Story of Mojang,13.606,32,popular,Documentary
2011,Attack the Block,13.604,1640,below_avg,Action
2011,Attack the Block,13.604,1640,below_avg,Comedy
2011,Attack the Block,13.604,1640,below_avg,Science Fiction
1989,Weekend at Bernie's,13.604,758,below_avg,Comedy
1989,Weekend at Bernie's,13.604,758,below_avg,Crime
1990,White Palace,13.603,100,below_avg,Drama
1990,White Palace,13.603,100,below_avg,Romance
1968,Funny Girl,13.602,299,popular,Comedy
1968,Funny Girl,13.602,299,popular,Drama
1968,Funny Girl,13.602,299,popular,Romance
2009,Lucky Luke,13.601,454,not_popular,Comedy
2009,Lucky Luke,13.601,454,not_popular,Western
2009,Lucky Luke,13.601,454,not_popular,Adventure
2007,I Want You,13.601,305,not_popular,Romance
2007,I Want You,13.601,305,not_popular,Comedy
2017,Arsenal,13.598,110,not_popular,Thriller
2014,See No Evil 2,13.598,234,not_popular,Horror
1949,The Heiress,13.598,170,popular,Drama
1949,The Heiress,13.598,170,popular,History
1949,The Heiress,13.598,170,popular,Romance
2020,Enforcement,13.593,88,below_avg,Action
2020,Enforcement,13.593,88,below_avg,Crime
2020,Enforcement,13.593,88,below_avg,Thriller
2020,El encanto,13.593,50,below_avg,Drama
2010,Lottery Ticket,13.592,136,not_popular,Comedy
2002,Half Past Dead,13.592,273,not_popular,Crime
2002,Half Past Dead,13.592,273,not_popular,Action
2002,Half Past Dead,13.592,273,not_popular,Thriller
2013,The ABCs of Death,13.591,440,not_popular,Horror
2005,The Great Raid,13.591,263,average,Action
2005,The Great Raid,13.591,263,average,History
2005,The Great Raid,13.591,263,average,War
2022,Chickenhare and the Hamster of Darkness,13.59,5,below_avg,Adventure
2022,Chickenhare and the Hamster of Darkness,13.59,5,below_avg,Animation
2022,Chickenhare and the Hamster of Darkness,13.59,5,below_avg,Comedy
2022,Chickenhare and the Hamster of Darkness,13.59,5,below_avg,Family
2022,Chickenhare and the Hamster of Darkness,13.59,5,below_avg,Fantasy
1997,Fireworks,13.59,452,popular,Crime
1997,Fireworks,13.59,452,popular,Drama
2011,iParty with Victorious,13.588,50,popular,TV Movie
2011,iParty with Victorious,13.588,50,popular,Comedy
2011,iParty with Victorious,13.588,50,popular,Family
2011,iParty with Victorious,13.588,50,popular,Music
2019,The Conquest of Siberia,13.588,47,below_avg,History
2019,The Conquest of Siberia,13.588,47,below_avg,Action
2019,The Conquest of Siberia,13.588,47,below_avg,Drama
1999,Herod's Law,13.588,122,popular,Comedy
1999,Herod's Law,13.588,122,popular,Crime
1999,Herod's Law,13.588,122,popular,Drama
2006,The Valet,13.586,429,not_popular,Comedy
2006,Glory Road,13.586,559,popular,Drama
2006,Glory Road,13.586,559,popular,History
2009,The Stepfather,13.585,658,not_popular,Horror
2009,The Stepfather,13.585,658,not_popular,Thriller
2003,Cold Creek Manor,13.585,360,not_popular,Mystery
2003,Cold Creek Manor,13.585,360,not_popular,Thriller
1994,Double Dragon,13.581,238,not_popular,Action
1994,Double Dragon,13.581,238,not_popular,Adventure
1994,Double Dragon,13.581,238,not_popular,Comedy
2017,The Mimic,13.578,100,average,Horror
2017,The Mimic,13.578,100,average,Thriller
1989,Lean On Me,13.577,212,popular,Drama
2006,Inland Empire,13.577,813,average,Drama
2006,Inland Empire,13.577,813,average,Horror
2006,Inland Empire,13.577,813,average,Mystery
2006,Inland Empire,13.577,813,average,Fantasy
2019,Crown Vic,13.575,122,below_avg,Crime
2019,Crown Vic,13.575,122,below_avg,Drama
2018,Dog Days,13.575,226,average,Romance
2018,Dog Days,13.575,226,average,Comedy
2018,Dog Days,13.575,226,average,Drama
2001,The Devil's Backbone,13.574,899,popular,Fantasy
2001,The Devil's Backbone,13.574,899,popular,Drama
2001,The Devil's Backbone,13.574,899,popular,Horror
2001,The Devil's Backbone,13.574,899,popular,Thriller
1990,Buried Alive,13.572,102,average,TV Movie
1990,Buried Alive,13.572,102,average,Horror
1990,Buried Alive,13.572,102,average,Thriller
2000,The Adventures of Rocky & Bullwinkle,13.571,293,not_popular,Family
2000,The Adventures of Rocky & Bullwinkle,13.571,293,not_popular,Adventure
2000,The Adventures of Rocky & Bullwinkle,13.571,293,not_popular,Animation
2000,The Adventures of Rocky & Bullwinkle,13.571,293,not_popular,Comedy
2000,The Adventures of Rocky & Bullwinkle,13.571,293,not_popular,Fantasy
2010,Poetry,13.567,221,popular,Drama
2008,Extreme Movie,13.566,133,not_popular,Comedy
2001,Get Over It,13.566,223,not_popular,Comedy
2001,Get Over It,13.566,223,not_popular,Romance
2003,Boundin',13.565,418,average,Animation
2003,Boundin',13.565,418,average,Family
2003,Boundin',13.565,418,average,Music
2003,Boundin',13.565,418,average,Comedy
1988,Mystic Pizza,13.565,384,below_avg,Comedy
1988,Mystic Pizza,13.565,384,below_avg,Drama
1988,Mystic Pizza,13.565,384,below_avg,Romance
1969,Marquis de Sade: Justine,13.564,31,not_popular,Drama
